Slide_No,State,District,Toposheet,Latitude,Longitude,Length,Width,Height,Area,Activity,Geomorphol,Lithology,LULC,Triggering,Year,Basin,Sub_Basin,Source,feature_id,geometry_type
SK /GTK /78A11 /2023 /6,SIKKIM,GANGTOK,78A11,27.2896,88.5496,118.91,30.736,26.6151733398,2108.44894391,Reactivated,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Wasteland - Sparse Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.223,MultiPolygon
SK /GTK /78A11 /2023 /19,SIKKIM,GANGTOK,78A11,27.2895,88.5517,267.156,59.316,103.667602539,7064.26225419,Reactivated,Moderately Dissected Structural Hills and Valleys,MYLONITIC GRANITE GNEISS,Wasteland - Dense Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.238,MultiPolygon
SK /GTK /78A11 /2023 /20,SIKKIM,GANGTOK,78A11,27.2773,88.5577,51.066,37.359,52.634765625,1303.10813923,Active,Moderately Dissected Structural Hills and Valleys,MYLONITIC GRANITE GNEISS,Wasteland - Sparse Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.239,MultiPolygon
SK /PKY /78A11 /2023 /4,SIKKIM,PAKYONG,78A11,27.2802,88.7155,132.925,131.749,19.0487976074,10825.719734,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.216,MultiPolygon
SK /GYL /78A3 /2023 /5,SIKKIM,GYALSHING,78A3,27.3051,88.1961,124.986,45.581,13.0809326172,4428.85247344,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.60,MultiPolygon
SK /GYL /78A3 /2023 /29,SIKKIM,GYALSHING,78A3,27.312,88.2307,106.7,52.079,144.152954102,3401.79012045,Active,Moderately Dissected Structural Hills and Valleys,MYLONITIC GRANITE GNEISS,Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.122,MultiPolygon
SK /NAM /78A7 /2023 /52,SIKKIM,NAMCHI,78A7,27.3008,88.3916,1576.35,575.204,22.6553955078,480139.797263,Reactivated,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Wasteland - Dense Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.161,MultiPolygon
SK /GTK /78A11 /2023 /15,SIKKIM,GANGTOK,78A11,27.308,88.6115,56.698,31.549,49.0,1249.1553046,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Evergreen Open Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.232,MultiPolygon
SK /PKY /78A11 /2023 /1,SIKKIM,PAKYONG,78A11,27.3106,88.7104,49.53,30.345,65.6688232422,962.746700794,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.199,MultiPolygon
SK /GYL /78A7 /2023 /24,SIKKIM,GYALSHING,78A7,27.3309,88.2641,115.41,81.773,68.0,7242.40520787,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Semi- Evergreen Open Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.103,MultiPolygon
SK /GYL /78A7 /2023 /38,SIKKIM,GYALSHING,78A7,27.3278,88.2712,63.055,59.573,37.0,2590.25313628,Reactivated,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Evergreen Open Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.117,MultiPolygon
SK /GYL /78A7 /2023 /47,SIKKIM,GYALSHING,78A7,27.3311,88.2654,263.11,106.243,36.7265625,16956.5191283,Reactivated,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Agriculture - Single crop Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.138,MultiPolygon
SK /NAM /78A7 /2023 /54,SIKKIM,NAMCHI,78A7,27.3311,88.413,180.467,50.293,16.0521850586,4140.05141375,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Wasteland - Dense Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.163,MultiPolygon
SK /NAM /78A7 /2023 /55,SIKKIM,NAMCHI,78A7,27.3319,88.4142,148.993,44.743,10.0,4021.16975519,Reactivated,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Wasteland - Dense Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.164,MultiPolygon
SK /NAM /78A7 /2023 /51,SIKKIM,NAMCHI,78A7,27.3319,88.4749,67.494,47.098,7.0,2157.78138144,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.160,MultiPolygon
SK /GTK /78A11 /2023 /14,SIKKIM,GANGTOK,78A11,27.3331,88.623,87.037,22.157,170.521850586,1550.44289591,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Evergreen Open Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.231,MultiPolygon
SK /GYL /78A3 /2023 /14,SIKKIM,GYALSHING,78A3,27.3529,88.0702,84.514,53.324,57.0,3164.20775053,Active,Highly Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Evergreen Closed Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.86,MultiPolygon
